Execução,Semáforos,Monitores,Locks/Mutexes
50,1.7070722579956055,1.8799595832824707,1.9011261463165283
51,3.328582525253296,1.7179310321807861,3.652848482131958
52,1.7021057605743408,1.783207893371582,2.328636646270752
53,1.8949990272521973,1.8858487606048584,1.7763621807098389
54,2.620774984359741,1.899599552154541,3.2676072120666504
55,1.7633271217346191,2.0372631549835205,1.691502332687378
56,2.0182089805603027,1.9045004844665527,3.4637558460235596
57,1.7643074989318848,2.091905355453491,2.499544620513916
58,1.9626882076263428,2.0232534408569336,1.7587974071502686
59,3.1723058223724365,1.9334869384765625,2.9345688819885254
60,2.9551734924316406,1.818526029586792,1.8081908226013184
61,3.3362009525299072,1.804802417755127,3.2595553398132324
62,3.069140911102295,2.001599073410034,2.962395191192627
63,1.9408321380615234,1.8425519466400146,2.4999868869781494
64,3.2129387855529785,1.8854289054870605,1.6674814224243164
65,1.8407692909240723,1.9164087772369385,2.171046018600464
66,1.906846523284912,2.116320848464966,1.9936935901641846
67,1.870142936706543,1.8148307800292969,1.7797362804412842
68,1.7578506469726562,1.799854040145874,1.927499532699585
69,1.8641462326049805,1.95780611038208,1.7746522426605225
70,2.0981757640838623,1.9596974849700928,2.5179903507232666
71,1.9869775772094727,1.5858442783355713,3.066602945327759
72,1.727431297302246,1.7275981903076172,1.8729887008666992
73,1.758408546447754,1.8198163509368896,1.8593425750732422
74,2.7547454833984375,1.8568410873413086,1.6588754653930664
75,1.9850945472717285,1.9351682662963867,1.610544204711914
76,1.7001488208770752,1.7111501693725586,1.9962835311889648
77,1.761939287185669,1.5599570274353027,1.7183759212493896
78,1.8144080638885498,1.705301284790039,2.5411224365234375
79,1.5979492664337158,1.9255211353302002,1.7217185497283936
80,1.8699748516082764,1.8496766090393066,2.0792744159698486
81,1.7364411354064941,1.8175594806671143,2.0410752296447754
82,2.8371427059173584,1.683802604675293,1.935297966003418
83,1.846475601196289,2.0746047496795654,1.8177402019500732
84,1.8617730140686035,1.825138807296753,1.8858003616333008
85,1.8028523921966553,2.1008310317993164,1.858508586883545
86,1.8665156364440918,2.0041933059692383,1.739051103591919
87,2.4139668941497803,1.6403677463531494,1.9069766998291016
88,2.795330286026001,1.9639191627502441,1.8119308948516846
89,2.527179002761841,2.1833698749542236,1.7496273517608643
90,2.47646427154541,1.8483688831329346,2.7373549938201904
91,1.8853747844696045,1.7559335231781006,3.343524694442749
92,2.456181526184082,1.9938244819641113,3.0441131591796875
93,3.198723316192627,1.9496591091156006,2.0063419342041016
94,2.6460416316986084,1.83756685256958,2.5642948150634766
95,1.86592698097229,1.8567063808441162,1.811830997467041
96,2.4305107593536377,1.934901475906372,2.0404233932495117
97,1.9691529273986816,1.85243821144104,2.6963579654693604
98,1.8779616355895996,1.684704303741455,2.88853120803833
99,1.7219417095184326,1.7070717811584473,2.7666256427764893
100,2.1107394695281982,1.7411682605743408,1.9396910667419434
